fine_signature,stratum,task_type,complexity,domain,reviewer_model,n,mean_score,mean_workflow_cost,mean_estimated_cost,intervention_rate,success_rate,mean_reviewer_score
bugfix|c1|frontend,unknown,bugfix,1.0,frontend,gpt-5.6-terra,1,0.52,8.7146945,0.3008842,0.0,0.0,0.3
bugfix|c1|full-stack,unknown,bugfix,1.0,full-stack,claude-haiku-4-5-20251001,1,0.58,11.748407225000001,0.35904919999999996,0.0,0.0,0.35
bugfix|c1|full-stack,ts_std_small,bugfix,1.0,full-stack,claude-opus-4-7,2,0.7,7.346791605,0.32554335,1.0,0.5,0.56
bugfix|c1|full-stack,ts_std_small,bugfix,1.0,full-stack,gpt-5.5,2,0.71,10.67426098,0.29561245,0.5,0.5,0.64
bugfix|c2|backend,unknown_med,bugfix,2.0,backend,gpt-5.5,1,0.82,0.0,0.10918929999999999,0.0,1.0,0.55
bugfix|c2|backend,ts_std_med,bugfix,2.0,backend,gpt-5.6-terra,1,0.93,0.0,0.36129439999999996,0.0,1.0,0.85
bugfix|c2|devtools,ts_std_med,bugfix,2.0,devtools,claude-haiku-4-5-20251001,1,0.95,7.548996,0.2623685,0.0,1.0,0.88
bugfix|c2|frontend,ts_std_med,bugfix,2.0,frontend,claude-haiku-4-5-20251001,1,0.6,11.989642625,0.3487002,1.0,0.0,0.75
bugfix|c2|full-stack,ts_std_med,bugfix,2.0,full-stack,claude-haiku-4-5-20251001,1,0.6,5.191811250000001,0.46973929999999997,1.0,0.0,0.55
bugfix|c2|full-stack,ts_std_med,bugfix,2.0,full-stack,claude-opus-4-7,2,0.9099999999999999,11.78162775,0.40456925,0.5,1.0,0.7849999999999999
bugfix|c2|full-stack,ts_std_med,bugfix,2.0,full-stack,gpt-5.5,1,0.65,2.95515,0.5480269,0.0,0.0,0.45
bugfix|c2|full-stack,ts_std_small,bugfix,2.0,full-stack,gpt-5.5,2,0.64,6.224172435,0.2698752,1.0,0.0,0.53
bugfix|c2|full-stack,unknown_med,bugfix,2.0,full-stack,gpt-5.5,1,0.7,8.78184677,0.2278416,1.0,0.0,0.64
bugfix|c2|full-stack,unknown_small,bugfix,2.0,full-stack,gpt-5.5,2,0.965,3.5500531250000003,0.41128445,0.0,1.0,0.825
bugfix|c2|full-stack,ts_std_med,bugfix,2.0,full-stack,gpt-5.6-terra,1,0.65,6.72632125,0.40929679999999996,1.0,0.0,0.65
bugfix|c3|backend,ts_std_med,bugfix,3.0,backend,claude-haiku-4-5-20251001,1,0.93,0.0,0.8031782000000001,0.0,1.0,0.78
bugfix|c3|backend,unknown_med,bugfix,3.0,backend,claude-haiku-4-5-20251001,1,0.86,15.985375999999999,0.3518521,1.0,1.0,0.76
bugfix|c3|backend,ts_std_med,bugfix,3.0,backend,claude-opus-4-7,1,0.95,0.0,0.47357240000000006,0.0,1.0,0.85
bugfix|c3|backend,unknown_med,bugfix,3.0,backend,claude-opus-4-7,1,0.82,0.0,0.39291410000000004,1.0,1.0,0.55
bugfix|c3|backend,ts_std_large,bugfix,3.0,backend,claude-opus-4-8,1,0.7,4.7579505300000005,0.1409556,1.0,0.0,0.58
bugfix|c3|backend,ts_std_med,bugfix,3.0,backend,gpt-5.5,2,0.7250000000000001,2.81072,0.4405025,0.0,0.5,0.585
bugfix|c3|devtools,unknown_large,bugfix,3.0,devtools,gpt-5.5,1,0.95,7.2083235,0.3512832,0.0,1.0,0.78
bugfix|c3|frontend,ts_std_large,bugfix,3.0,frontend,claude-haiku-4-5-20251001,1,0.85,16.639813874999998,0.47201699999999996,1.0,1.0,0.68
bugfix|c3|frontend,ts_std_med,bugfix,3.0,frontend,claude-haiku-4-5-20251001,1,0.93,1.18855375,0.4698063,0.0,1.0,0.8
bugfix|c3|frontend,unknown_med,bugfix,3.0,frontend,claude-haiku-4-5-20251001,2,0.775,3.277922499999999,0.41683535,0.5,0.5,0.635
bugfix|c3|frontend,ts_std_med,bugfix,3.0,frontend,claude-opus-4-7,1,0.87,8.23969471,0.4608422,1.0,1.0,0.72
bugfix|c3|frontend,ts_std_med,bugfix,3.0,frontend,gpt-5.5,4,0.545,8.33983374,0.37780665,0.75,0.0,0.43
bugfix|c3|full-stack,ts_std_med,bugfix,3.0,full-stack,claude-haiku-4-5-20251001,1,0.55,6.00559375,0.16496880000000003,0.0,0.0,0.35
bugfix|c3|full-stack,ts_std_large,bugfix,3.0,full-stack,claude-opus-4-7,3,0.7033333333333335,11.054222623333333,0.18987473333333335,0.6666666666666666,0.0,0.68
bugfix|c3|full-stack,ts_std_med,bugfix,3.0,full-stack,claude-opus-4-7,8,0.8025,8.7928089275,0.338140425,0.375,0.625,0.6725
bugfix|c3|full-stack,unknown_med,bugfix,3.0,full-stack,claude-opus-4-7,11,0.7245454545454546,10.079640591363635,0.5008005727272727,0.6363636363636364,0.45454545454545453,0.6381818181818182
bugfix|c3|full-stack,unknown_small,bugfix,3.0,full-stack,claude-opus-4-7,1,0.85,5.85339892,0.1288381,1.0,1.0,0.65
bugfix|c3|full-stack,ts_std_med,bugfix,3.0,full-stack,gpt-5.4,2,0.7,28.543512089999993,0.26662980000000003,0.5,0.0,0.575
bugfix|c3|full-stack,ts_std_large,bugfix,3.0,full-stack,gpt-5.5,4,0.7275,14.11342774,0.687239075,0.5,0.5,0.66
bugfix|c3|full-stack,ts_std_med,bugfix,3.0,full-stack,gpt-5.5,5,0.876,5.584019941999999,0.34181691999999997,0.4,0.8,0.8
bugfix|c3|full-stack,ts_std_small,bugfix,3.0,full-stack,gpt-5.5,1,0.78,6.00604,0.3255558,0.0,0.0,0.65
bugfix|c3|full-stack,unknown_med,bugfix,3.0,full-stack,gpt-5.5,6,0.7916666666666666,10.961108660833332,0.6234317500000001,0.8333333333333334,0.6666666666666666,0.67
bugfix|c3|full-stack,unknown_med,bugfix,3.0,full-stack,gpt-5.6-terra,1,0.93,10.972205875,0.29879479999999997,0.0,1.0,0.83
bugfix|c4|backend,ts_std_large,bugfix,4.0,backend,claude-haiku-4-5-20251001,2,0.62,11.603619437499997,0.83190575,0.5,0.5,0.615
bugfix|c4|backend,ts_std_med,bugfix,4.0,backend,claude-haiku-4-5-20251001,2,0.73,4.180318125,0.46610175,0.5,0.5,0.665
bugfix|c4|backend,unknown_large,bugfix,4.0,backend,claude-haiku-4-5-20251001,1,0.92,0.0,0.1749936,0.0,1.0,0.8
bugfix|c4|backend,ts_std_large,bugfix,4.0,backend,claude-opus-4-7,1,0.92,0.0,0.5612904,0.0,1.0,0.85
bugfix|c4|backend,ts_std_med,bugfix,4.0,backend,claude-opus-4-7,1,0.87,0.0,0.08289269999999999,0.0,1.0,0.75
bugfix|c4|backend,ts_std_large,bugfix,4.0,backend,gpt-5.5,1,0.6,16.221275230000003,0.1517949,1.0,0.0,0.55
bugfix|c4|backend,ts_std_large,bugfix,4.0,backend,gpt-5.6-terra,1,0.85,14.582976375000001,0.3701922,1.0,1.0,0.78
bugfix|c4|data-pipeline,ts_std_large,bugfix,4.0,data-pipeline,claude-haiku-4-5-20251001,1,0.64,7.360443749999999,0.46415880000000004,1.0,0.0,0.6
bugfix|c4|data-pipeline,ts_std_med,bugfix,4.0,data-pipeline,claude-haiku-4-5-20251001,1,0.85,2.7417912500000003,0.4489503,1.0,1.0,0.75
bugfix|c4|data-pipeline,unknown_large,bugfix,4.0,data-pipeline,claude-haiku-4-5-20251001,1,0.75,3.2181200000000003,0.248592,0.0,0.0,0.45
bugfix|c4|data-pipeline,ts_std_large,bugfix,4.0,data-pipeline,gpt-5.5,2,0.6699999999999999,2.2042855,0.6977345500000001,1.0,0.5,0.585
bugfix|c4|frontend,ts_std_large,bugfix,4.0,frontend,claude-haiku-4-5-20251001,2,0.915,8.8093275625,0.30378469999999996,0.5,1.0,0.8600000000000001
bugfix|c4|frontend,unknown_large,bugfix,4.0,frontend,claude-haiku-4-5-20251001,1,0.83,4.65457875,0.4099008,1.0,1.0,0.62
bugfix|c4|frontend,unknown_med,bugfix,4.0,frontend,claude-haiku-4-5-20251001,1,0.88,12.261786,0.4936482,0.0,1.0,0.75
bugfix|c4|frontend,ts_std_large,bugfix,4.0,frontend,claude-opus-4-7,4,0.8674999999999999,13.30040290625,0.4794704,0.0,1.0,0.71
bugfix|c4|frontend,ts_std_large,bugfix,4.0,frontend,gpt-5.5,2,0.9,6.3536737500000005,0.3536657,0.0,1.0,0.78
bugfix|c4|frontend,ts_std_med,bugfix,4.0,frontend,gpt-5.5,1,0.42,18.187802625,0.1357702,0.0,0.0,0.3
